created_by_id,latitude,longitude,police_station,created_datetime
FKUSR00079,12.9642021,77.5763464,City Market,2024-04-08 17:30:46+00:00
FKUSR01598,12.964197894739964,77.57674079,City Market,2024-04-08 16:24:46+00:00
FKUSR01440,12.9360635,77.6155162,Adugodi,2024-04-08 14:06:46+00:00
FKUSR00779,13.0082582,77.5545086,Malleshwaram,2024-04-08 12:56:46+00:00
FKUSR00241,13.0083958,77.5544903,Malleshwaram,2024-04-08 12:45:46+00:00
FKUSR00252,13.0084887,77.5544747,Malleshwaram,2024-04-08 12:42:46+00:00
FKUSR00376,13.0123612,77.5540472,Malleshwaram,2024-04-08 11:49:46+00:00
FKUSR01970,12.9719929,77.6405331,Jeevanbheemanagar,2024-04-08 10:48:46+00:00
FKUSR00232,12.9975398,77.5501351,Vijayanagara,2024-04-08 09:52:46+00:00
FKUSR00038,13.1837088,77.6794942,Chikkajala,2024-04-08 09:20:46+00:00
FKUSR00131,13.0476731,77.5766382,Kodigehalli,2024-04-08 09:19:46+00:00
FKUSR00231,12.9737789,77.5504695,Magadi Road,2024-04-08 09:09:46+00:00
FKUSR00099,12.9770319,77.5742948,Upparpet,2024-04-08 09:06:46+00:00
FKUSR00628,12.9951693,77.6969843,Mahadevapura,2024-04-08 08:58:46+00:00
FKUSR00077,12.9898694,77.5559925,Rajajinagar,2024-04-08 08:56:46+00:00
FKUSR00240,12.9786442,77.5750904,Upparpet,2024-04-08 08:32:46+00:00
FKUSR00149,12.9818832,77.610415,Shivajinagar,2024-04-08 08:31:46+00:00
FKUSR00831,12.9605015,77.5130944,Jnanabharathi,2024-04-08 08:28:46+00:00
FKUSR00754,12.854304,77.588512,Thalagattapura,2024-04-08 08:28:46+00:00
FKUSR00060,13.0110667,77.554435,Malleshwaram,2024-04-08 08:24:46+00:00
FKUSR01871,12.904365,77.6760977,Bellandur,2024-04-08 08:24:46+00:00
FKUSR01525,13.0259706,77.6274219,K.G. Halli,2024-04-08 08:15:46+00:00
